segment_label,customers,repeat_customers,avg_recency_days,avg_total_orders,avg_total_revenue,avg_order_value,avg_review_score,late_delivery_rate,avg_rfm_total,repeat_customer_rate
Champion,15321,1415,119.04053260231055,1.1085438287318061,265.48753410351804,249.23561268989897,4.178892259348737,0.06652310885633156,13.72364728150904,0.09235689576398408
Loyal,27618,1374,188.64450720544573,1.052864074154537,129.22208632051561,123.58678733072634,4.072852185616242,0.09830474007246913,11.008798609602433,0.04975016293721486
Potential,29922,208,326.03910166432723,1.0074192901544015,151.3783072655571,151.1727013011608,4.035623238210752,0.09399051676745465,7.988770804090636,0.006951406991511262
At Risk,19133,0,456.24888935347303,1.0,69.48208958344222,69.48208958344222,4.116667544922802,0.05730129390018484,5.1853342392724615,0.0
Lost,4102,0,528.3147245246221,1.0,23.47905411994149,23.47905411994149,4.026774748219111,0.04270082732852949,3.0,0.0
