primary_payment_type,order_count,item_merchandise_value_ex_freight,item_revenue_ex_freight,order_share
credit_card,74935,10719581.21999997,10719581.21999997,0.7535624138936656
boleto,19784,2391525.660000001,2391525.660000001,0.19895214247644333
voucher,3191,296770.99999999994,296770.99999999994,0.032089379632143686
debit_card,1527,183630.84999999998,183630.84999999998,0.015355839140797056
not_defined,3,0.0,0.0,3.0168642712764353e-05
unknown,1,134.97,134.97,1.0056214237588117e-05
