seller_rank,seller_id_short,seller_state,total_orders,seller_attributed_order_value,avg_review,late_rate,performance_tier
311,92eb0f42...707d,SP,341,11492.669999999998,3.9911242603550297,0.08083832335329341,high
312,6c7d50c2...e073,SP,114,11470.189999999999,4.389380530973451,0.017857142857142856,high
313,5656537e...944b,DF,174,11442.959999999995,3.8735632183908044,0.07602339181286549,high
314,cbd996ad...87e2,SP,165,11284.960000000003,4.149068322981367,0.0875,high
315,259f7b5e...bb8f,SP,138,11265.25,4.306569343065694,0.022058823529411766,high
316,81a1104d...398e,PR,73,11235.27,4.267605633802817,0.05555555555555555,high
317,ea566164...42cd,SP,50,11167.98,3.78,0.22,high
318,066a6914...6b91,PR,68,11115.95,4.08955223880597,0.030303030303030304,high
319,e5a34388...3d8e,SP,224,11112.620000000003,3.9279279279279278,0.18518518518518517,high
320,0db783cf...102f,SP,132,11076.550000000003,4.206106870229007,0.03787878787878788,high
321,7b07b3c7...658b,SP,93,11074.64,4.354838709677419,0.04395604395604396,high
322,1c5e4e49...1aa9,SP,12,11062.720000000001,4.333333333333333,0.0,high
323,624f4ece...f8ef,SP,53,10927.369999999999,4.25,0.07692307692307693,high
324,06532f10...77be,PR,8,10918.739999999998,4.25,0.0,high
325,18a349e7...4216,SP,121,10909.56,3.441666666666667,0.06422018348623854,high
326,7008613e...6a8f,SC,127,10860.050000000001,4.261904761904762,0.04878048780487805,high
327,73a63f72...f196,PR,29,10785.79,4.142857142857143,0.0,high
328,054694fa...1d74,SP,21,10703.75,3.4761904761904763,0.3,high
329,5882820e...79b4,RS,14,10664.81,4.153846153846154,0.07142857142857142,high
330,b92e3c8f...8d7c,MG,62,10645.3,4.161290322580645,0.03225806451612903,high
331,cb8bcce2...1456,MG,68,10635.02,4.25,0.015151515151515152,high
332,9596c870...06d7,MG,22,10615.33,4.136363636363637,0.047619047619047616,high
333,17306570...5f1d,SP,29,10600.63,3.6206896551724137,0.07407407407407407,high
334,a49928bc...4ca5,SP,98,10574.250000000002,3.010204081632653,0.2604166666666667,high
335,7b1222c3...188c,SP,22,10561.09,4.454545454545454,0.13636363636363635,high
336,048c2757...0aae,SP,51,10551.06,4.18,0.14,high
337,f27e33c6...b6d5,SP,93,10482.25,4.096774193548387,0.10752688172043011,high
338,5b815461...73df,SP,38,10474.980000000001,4.184210526315789,0.10810810810810811,high
339,0bae85eb...8d54,SP,137,10406.4,4.2700729927007295,0.007352941176470588,high
340,b2ac621f...9369,PR,30,10356.89,4.4,0.1,high
341,e96498ed...591c,SP,34,10332.19,3.9411764705882355,0.14705882352941177,high
342,febab027...ca2f,SP,109,10289.169999999998,4.376146788990826,0.04716981132075472,high
343,8e8a7ce9...99f6,RJ,65,10284.82,4.015625,0.09523809523809523,high
344,b1a81260...3f27,RS,51,10250.2,4.2745098039215685,0.0196078431372549,high
345,972d0f9c...d3c4,SC,83,10240.59,3.0253164556962027,0.1111111111111111,high
346,d98eec89...ea72,RS,168,10225.31,4.338323353293413,0.023809523809523808,high
347,b1fc4f64...57a9,RJ,107,10140.99,3.857142857142857,0.12149532710280374,high
348,5f2684da...4e45,SP,68,10123.06,3.8088235294117645,0.05970149253731343,high
349,3c487ae8...ea83,DF,30,10105.349999999999,4.2,0.03333333333333333,high
350,961dff0a...97d9,RJ,4,10082.560000000001,3.75,0.6666666666666666,high
351,05feb94f...4c99,SP,6,10050.04,4.5,0.0,high
352,640e21a7...d40c,SP,116,10045.119999999999,4.301724137931035,0.06956521739130435,high
353,e7df4cd2...3987,SP,23,10022.070000000002,4.304347826086956,0.17391304347826086,high
354,7a241947...d9d0,MG,62,10018.1,3.8688524590163933,0.07142857142857142,high
355,270297ea...6b21,SP,18,9968.5,3.823529411764706,0.0,medium
356,6d803cb7...b3c7,SP,58,9925.07,4.25,0.06896551724137931,medium
